,DN,target,Name,x_centroid,y_centroid,area_m,perimeter,glaciersum,mean_elevation,median_elevation,std_elevation,min_elevation,max_elevation,range_elevation,variance_elevation,region,region_name,mean_slope,median_slope,std_slope,min_slope,max_slope,range_slope,variance_slope,glarea_percent,glacier,x_wgs,y_wgs,M,Rc,Cc,mean_annual_T,mean_jan_T,mean_july_T,mean_monsoon_T,mean_no_monsoon_T,count_zeros
1075,8,1,DF,5881689.328,-1203251.06,761.154,110.356,0.0,4658.999999999865,4657.0,2.82842712465101,4655.0,4659.0,4.0,7.999999999461579,8,interior tibet,18.16137886041357,17.27177619934082,1.25808814845475,16.382173538208008,18.16137886047364,1.779205322265625,1.5827857892823,0.0,0,78.438,33.9,110.35607821955254,0.7853992767671734,1.1363991945282856,-8.233124,-22.186218,7.033661,-0.1696167,-16.329224,6.3125
1077,9,1,DF,5883465.102,-1203612.89,4376636.812,14235.936,0.0,5284.309913043478,5279.5,394.999565819234,4481.0,6158.0,1677.0,156024.6569973834,8,interior tibet,28.31894201139782,28.69881629943848,9.990063747989364,1.641373753547668,64.30109405517578,62.65972030162811,99.8013736888913,0.0,0,78.438,33.881,3508353.2645466514,0.2713803005659315,1.933245492081777,-8.233124,-22.186218,7.033661,-0.1696167,-16.329224,6.3125
1079,10,0,FF,5880224.455,-1206870.21,8785574.349,17648.245,4216.685,5402.407397782398,5474.0,402.4278567905274,4518.0,6175.0,1657.0,161948.17992101726,8,interior tibet,27.59969541909624,28.23786354064941,10.284228311134084,1.160785317420959,62.25601196289063,61.09522664546967,105.76535195553176,0.0479955530793494,1,78.402,33.907,4911425.803751646,0.3544679503374443,1.6915610586869425,-8.233124,-22.186218,7.033661,-0.1696167,-16.329224,6.3125
1080,11,0,FF,5882392.654,-1205883.19,2975351.878,11863.28,0.0,5512.610897927859,5589.0,322.95720878231504,4724.0,6117.0,1393.0,104301.35870446384,8,interior tibet,26.406357091355734,27.244733810424805,9.85922587145545,0.0,60.63302993774414,60.63302993774414,97.20433478437648,0.0,0,78.415,33.887,2402814.7195140165,0.2656676272536708,1.953920310265776,-8.233124,-22.186218,7.033661,-0.1696167,-16.329224,6.3125
1081,12,0,FF,5878335.961,-1207589.0,12222817.49,25712.436,125726.621,5390.600361100735,5453.0,454.6733381891752,4360.0,6215.0,1855.0,206727.8444600881,8,interior tibet,26.222241572515266,27.22124671936035,11.398117387906607,0.0,62.47538375854492,62.47538375854492,129.91707998849895,1.0286222558985456,1,78.391,33.924,6485292.634378749,0.2323243568502565,2.0894346568982645,-8.233124,-22.186218,7.033661,-0.1696167,-16.329224,6.3125
1082,13,1,DF,5876530.181,-1202975.17,761.154,110.356,0.0,4336.999999999831,4334.5,3.535533905813119,4332.0,4337.0,5.0,12.49999999915417,8,interior tibet,15.163781166016904,14.278656959533691,1.251754657235538,13.393532752990724,15.16378116607666,1.770248413085938,1.566889721910859,0.0,0,78.431,33.952,137.94509777444068,0.7853992767671734,1.1363991945282856,-8.94162,-23.157242,6.7626038,-0.58480835,-17.33171,6.4375
1083,14,1,DF,5876417.462,-1204265.0,720051.9,5628.161,0.0,4825.824524312897,4848.5,196.53808993146063,4368.0,5082.0,714.0,38627.22079390692,8,interior tibet,24.441637032379813,25.75247001647949,11.152541038900848,0.519175827503204,48.94766998291016,48.42849415540695,124.3791716243676,0.0,0,78.419,33.95,605870.9255381051,0.2856542170615352,1.8843251549287248,-8.94162,-23.157242,6.7626038,-0.58480835,-17.33171,6.4375
1084,15,1,DF,5875454.209,-1203775.26,761.154,110.356,0.0,4315.0,4315.0,0.0,4315.0,4315.0,0.0,0.0,8,interior tibet,22.41740226745605,22.41740226745605,0.0,22.41740226745605,22.41740226745605,0.0,0.0,0.0,0,78.421,33.961,0.0,0.7853992767671734,1.1363991945282856,-8.94162,-23.157242,6.7626038,-0.58480835,-17.33171,6.4375
1085,16,1,DF,5874957.606,-1204520.16,761.154,110.356,0.0,4320.0,4320.0,0.0,4320.0,4320.0,0.0,0.0,8,interior tibet,25.864822387695312,25.864822387695312,0.0,25.864822387695312,25.864822387695312,0.0,0.0,0.0,0,78.413,33.964,0.0,0.7853992767671734,1.1363991945282856,-8.94162,-23.157242,6.7626038,-0.58480835,-17.33171,6.4375
1087,17,0,FF,5876401.902,-1208087.14,5194116.453,14070.402,0.0,5216.607854630715,5191.0,381.8179186599514,4329.0,6050.0,1721.0,145784.92300981723,8,interior tibet,33.570765951104626,34.69683647155762,7.691321956270582,1.160785317420959,57.25044250488281,56.08965718746185,59.15643343500993,0.0,0,78.383,33.943,3922263.00358224,0.3296920956187673,1.7539689391122075,-8.233124,-22.186218,7.033661,-0.1696167,-16.329224,6.3125
1088,18,0,FF,5876443.922,-1205793.94,3241755.858,10207.939,0.0,4981.8910542380845,5021.0,187.22472283805385,4345.0,5303.0,958.0,35053.096841786086,8,interior tibet,24.83874165254681,25.849102020263672,10.984942134506673,0.367117762565613,48.592620849609375,48.22550308704376,120.66895369846,0.0,0,78.404,33.947,1724867.1900356594,0.390943535349713,1.610716648918786,-8.233124,-22.186218,7.033661,-0.1696167,-16.329224,6.3125
1090,19,1,DF,5874488.593,-1207306.65,761.154,110.356,0.0,4337.999999999764,4334.5,4.949747468138624,4331.0,4338.0,7.0,24.49999999834472,8,interior tibet,21.16195106516644,22.68693447113037,2.156652215180915,21.16195106506348,24.211917877197266,3.049966812133789,4.651148777244746,0.0,0,78.386,33.963,193.12313688421696,0.7853992767671734,1.1363991945282856,-8.94162,-23.157242,6.7626038,-0.58480835,-17.33171,6.4375
1091,20,1,DF,5874838.426,-1208025.53,376010.189,4138.354,0.0,4743.297570850203,4735.0,215.8364637009352,4340.0,5158.0,818.0,46585.37906292512,8,interior tibet,35.37946368325577,36.71784973144531,8.575152036889364,2.568138122558594,52.57910537719727,50.01096725463867,73.53323245576779,0.0,0,78.38,33.958,501594.8980047904,0.2759015888288295,1.917339701082876,-8.94162,-23.157242,6.7626038,-0.58480835,-17.33171,6.4375
